famRank,family,famFreq,word,PoS,freq,ratio,categ,domain
79,region,42022,regional,n,17,0.39,r,Hum+Fin
79,region,42022,regionalist,n,15,1.95,x,
80,current,41752,current,j,30626,1.67,y,
80,current,41752,currently,r,11126,1.65,y,
80,current,41752,current,n,1826,1.48,x,
81,image,41537,image,n,38020,1.70,y,
81,image,41537,imagery,n,3517,2.34,y,
81,image,41537,imaging,n,2472,2.67,r,Sci
81,image,41537,image,v,1022,2.83,r,Sci
81,image,41537,imaged,j,33,3.04,x,
81,image,41537,imaging,j,22,2.96,r,Sci
82,strategy,41449,strategy,n,33515,2.19,y,
82,strategy,41449,strategic,j,7274,1.88,y,
82,strategy,41449,strategically,r,660,1.51,y,
82,strategy,41449,strategist,n,517,0.55,r,Fin
83,exist,41285,exist,v,20901,1.73,y,
83,exist,41285,existing,j,10580,2.06,y,
83,exist,41285,existence,n,9678,1.97,y,
83,exist,41285,nonexistent,j,806,1.38,x,
83,exist,41285,existent,j,126,2.64,y,
84,population,40902,population,n,40902,2.08,y,
84,population,40902,populate,v,1093,1.34,x,
84,population,40902,populated,j,118,1.08,x,
84,population,40902,unpopulated,j,30,0.92,x,
85,international,40746,international,j,40746,1.61,y,
85,international,40746,internationally,r,1235,1.50,x,
85,international,40746,internationalism,n,249,2.45,r,His
85,international,40746,internationalization,n,234,2.81,r,Law
85,international,40746,internationalist,n,189,2.47,r,His+Law
85,international,40746,internationalize,v,105,2.09,r,His
85,international,40746,international,n,39,1.67,r,Edu
85,international,40746,internationalist,j,24,2.47,r,His
86,project,40367,project,n,36260,1.51,y,
86,project,40367,project,v,3432,1.41,x,
86,project,40367,projection,n,2783,1.71,y,
86,project,40367,projected,j,1324,1.52,y,
86,project,40367,projecting,j,213,1.27,r,Hum
86,project,40367,projective,j,127,2.96,x,
86,project,40367,projectionist,n,11,0.29,x,
87,standard,40249,standard,n,26890,1.75,y,
87,standard,40249,standard,j,11991,1.88,y,
87,standard,40249,standardized,j,2896,2.65,r,Edu
87,standard,40249,standardize,v,718,2.52,y,
87,standard,40249,standardization,n,650,2.98,y,
87,standard,40249,substandard,j,182,1.14,x,
87,standard,40249,standardised,j,56,3.11,r,Med
87,standard,40249,unstandardized,j,52,3.50,r,Soc
88,subject,39894,subject,n,37608,2.02,y,
88,subject,39894,subject,i,4738,1.92,y,
88,subject,39894,subject,v,2286,1.76,y,
88,subject,39894,subject,j,245,2.01,r,Edu
89,period,38952,period,n,35597,1.80,y,
89,period,38952,periodic,j,1539,2.11,y,
89,period,38952,periodically,r,1245,1.52,y,
89,period,38952,periodical,n,571,1.99,y,
89,period,38952,periodicity,n,115,3.25,r,Sci
90,type,38893,type,n,38893,1.85,y,
90,type,38893,type,v,837,0.88,x,
90,type,38893,subtype,n,403,3.09,r,Edu
91,describe,38599,describe,v,38500,1.75,y,
91,describe,38599,described,j,99,2.80,y,
91,describe,38599,indescribable,j,44,0.47,r,Hum
91,describe,38599,describer,n,12,1.56,r,Rel
91,describe,38599,indescribably,r,8,0.44,x,
92,condition,38429,condition,n,36933,1.88,y,
92,condition,38429,conditioning,n,1088,1.10,r,Med
92,condition,38429,condition,v,705,1.83,y,
92,condition,38429,conditional,j,659,2.47,y,
92,condition,38429,unconditional,j,498,1.36,x,
92,condition,38429,conditioner,n,472,0.79,r,Med
92,condition,38429,conditioned,j,174,1.75,r,Rel
